team1,team2,toss_winner,winner,venue,match_type,season
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Abu Dhabi,League,2020
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,,League,2020
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,,League,2020
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Abu Dhabi,League,2020
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,,League,2020
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,,League,2020
Delhi Capitals,Mumbai Indians,Delhi Capitals,Mumbai Indians,Abu Dhabi,League,2020
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,,League,2020
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,,League,2020
Delhi Capitals,Rajasthan Royals,Delhi Capitals,Delhi Capitals,,League,2020
Royal Challengers Bengaluru,Kings XI Punjab,Royal Challengers Bengaluru,Kings XI Punjab,,League,2020
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Abu Dhabi,League,2020
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Delhi Capitals,,League,2020
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,,League,2020
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,,Abu Dhabi,League,2020
Mumbai Indians,Kings XI Punjab,Mumbai Indians,,,League,2020
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Abu Dhabi,League,2020
Delhi Capitals,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,,League,2020
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Abu Dhabi,League,2020
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,,League,2020
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,,League,2020
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,Abu Dhabi,League,2020
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,,League,2020
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Abu Dhabi,League,2020
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,,League,2020
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,,League,2020
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,,League,2020
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai Indians,Abu Dhabi,League,2020
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,,League,2020
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Abu Dhabi,League,2020
Delhi Capitals,Mumbai Indians,Mumbai Indians,Mumbai Indians,,League,2020
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,,League,2020
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,,League,2020
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Abu Dhabi,League,2020
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Delhi Capitals,Abu Dhabi,League,2020
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,,League,2020
Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,,Qualifier 1,2020
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Abu Dhabi,Eliminator,2020
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Abu Dhabi,Qualifier 2,2020
Delhi Capitals,Mumbai Indians,Delhi Capitals,Mumbai Indians,,Final,2020
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Chennai,League,2021
Chennai Super Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,Mumbai,League,2021
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Chennai,League,2021
Punjab Kings,Rajasthan Royals,Rajasthan Royals,Punjab Kings,Mumbai,League,2021
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Chennai,League,2021
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bengaluru,Chennai,League,2021
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Mumbai,League,2021
Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Mumbai,League,2021
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Chennai,League,2021
Punjab Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,Mumbai,League,2021
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Chennai,League,2021
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Mumbai,League,2021
Mumbai Indians,Delhi Capitals,Mumbai Indians,Delhi Capitals,Chennai,League,2021
Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Chennai,League,2021
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Mumbai,League,2021
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mumbai,League,2021
Mumbai Indians,Punjab Kings,Punjab Kings,Punjab Kings,Chennai,League,2021
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Mumbai,League,2021
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Mumbai,League,2021
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,,Chennai,League,2021
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Ahmedabad,League,2021
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Royal Challengers Bengaluru,Ahmedabad,League,2021
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Delhi,League,2021
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Delhi Capitals,Ahmedabad,League,2021
Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai Indians,Delhi,League,2021
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Punjab Kings,Ahmedabad,League,2021
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Delhi,League,2021
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Delhi,League,2021
Punjab Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,Ahmedabad,League,2021
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Dubai,League,2021
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Abu Dhabi,League,2021
Rajasthan Royals,Punjab Kings,Punjab Kings,Rajasthan Royals,Dubai,League,2021
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Dubai,League,2021
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Abu Dhabi,League,2021
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Sharjah,League,2021
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sharjah,League,2021
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,Abu Dhabi,League,2021
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Abu Dhabi,League,2021
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Royal Challengers Bengaluru,Dubai,League,2021
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Dubai,League,2021
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Sharjah,League,2021
Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Abu Dhabi,League,2021
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Dubai,League,2021
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Sharjah,League,2021
Kolkata Knight Riders,Punjab Kings,Punjab Kings,Punjab Kings,Dubai,League,2021
Mumbai Indians,Delhi Capitals,Delhi Capitals,Delhi Capitals,Sharjah,League,2021
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Abu Dhabi,League,2021
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Dubai,League,2021
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sharjah,League,2021
Chennai Super Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,Dubai,League,2021
Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai Indians,Sharjah,League,2021
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,Abu Dhabi,League,2021
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Sharjah,League,2021
Chennai Super Kings,Punjab Kings,Punjab Kings,Punjab Kings,Dubai,League,2021
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Abu Dhabi,League,2021
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Dubai,League,2021
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Dubai,Qualifier 1,2021
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Sharjah,Eliminator,2021
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Sharjah,Qualifier 2,2021
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Dubai,Final,2021
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai,League,2022
Mumbai Indians,Delhi Capitals,Delhi Capitals,Delhi Capitals,Mumbai,League,2022
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Punjab Kings,Mumbai,League,2022
Lucknow Super Giants,Gujarat Titans,Gujarat Titans,Gujarat Titans,Mumbai,League,2022
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Pune,League,2022
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mumbai,League,2022
Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,Mumbai,League,2022
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai,League,2022
Gujarat Titans,Delhi Capitals,Delhi Capitals,Gujarat Titans,Pune,League,2022
Rajasthan Royals,Mumbai Indians,Mumbai Indians,Rajasthan Royals,Mumbai,League,2022
Punjab Kings,Chennai Super Kings,Chennai Super Kings,Punjab Kings,Mumbai,League,2022
Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Mumbai,League,2022
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mumbai,League,2022
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Pune,League,2022
Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,Mumbai,League,2022
Punjab Kings,Gujarat Titans,Gujarat Titans,Gujarat Titans,Mumbai,League,2022
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,League,2022
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Pune,League,2022
Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Rajasthan Royals,Mumbai,League,2022
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,Mumbai,League,2022
Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,League,2022
Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Mumbai,League,2022
Punjab Kings,Mumbai Indians,Mumbai Indians,Punjab Kings,Pune,League,2022
Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Gujarat Titans,Mumbai,League,2022
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,League,2022
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Royal Challengers Bengaluru,Mumbai,League,2022
Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Lucknow Super Giants,Mumbai,League,2022
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,League,2022
Chennai Super Kings,Gujarat Titans,Gujarat Titans,Gujarat Titans,Pune,League,2022
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Mumbai,League,2022
Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,Royal Challengers Bengaluru,Mumbai,League,2022
Punjab Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,Mumbai,League,2022
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Navi Mumbai,League,2022
Rajasthan Royals,Delhi Capitals,Delhi Capitals,Rajasthan Royals,Mumbai,League,2022
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,League,2022
Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,Navi Mumbai,League,2022
Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Lucknow Super Giants,Mumbai,League,2022
Punjab Kings,Chennai Super Kings,Chennai Super Kings,Punjab Kings,Mumbai,League,2022
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Rajasthan Royals,Pune,League,2022
Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,Gujarat Titans,Mumbai,League,2022
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Delhi Capitals,Mumbai,League,2022
Lucknow Super Giants,Punjab Kings,Punjab Kings,Lucknow Super Giants,Pune,League,2022
Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,Gujarat Titans,Mumbai,League,2022
Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai Indians,Navi Mumbai,League,2022
Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,Mumbai,League,2022
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Pune,League,2022
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai,League,2022
Gujarat Titans,Punjab Kings,Gujarat Titans,Punjab Kings,Navi Mumbai,League,2022
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bengaluru,Pune,League,2022
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Mumbai,League,2022
Mumbai Indians,Gujarat Titans,Gujarat Titans,Mumbai Indians,Mumbai,League,2022
Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Lucknow Super Giants,Pune,League,2022
Punjab Kings,Rajasthan Royals,Punjab Kings,Rajasthan Royals,Mumbai,League,2022
Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,Navi Mumbai,League,2022
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mumbai,League,2022
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Navi Mumbai,League,2022
Gujarat Titans,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,Pune,League,2022
Rajasthan Royals,Delhi Capitals,Delhi Capitals,Delhi Capitals,Navi Mumbai,League,2022
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2022
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Punjab Kings,Mumbai,League,2022
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Pune,League,2022
Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,Mumbai,League,2022
Chennai Super Kings,Gujarat Titans,Chennai Super Kings,Gujarat Titans,Mumbai,League,2022
Delhi Capitals,Punjab Kings,Punjab Kings,Delhi Capitals,Navi Mumbai,League,2022
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Mumbai,League,2022
Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,Navi Mumbai,League,2022
Gujarat Titans,Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,Mumbai,League,2022
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Mumbai,League,2022
Delhi Capitals,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2022
Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Mumbai,League,2022
Rajasthan Royals,Gujarat Titans,Gujarat Titans,Gujarat Titans,Kolkata,Qualifier,2022
Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,Royal Challengers Bengaluru,Kolkata,Eliminator,2022
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Ahmedabad,Qualifier,2022
Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Gujarat Titans,Ahmedabad,Final,2022
Chennai Super Kings,Gujarat Titans,Gujarat Titans,Gujarat Titans,Ahmedabad,League,2023
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,Chandigarh,League,2023
Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Lucknow Super Giants,Lucknow,League,2023
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,League,2023
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2023
Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Chennai Super Kings,Chennai,League,2023
Delhi Capitals,Gujarat Titans,Gujarat Titans,Gujarat Titans,Delhi,League,2023
Punjab Kings,Rajasthan Royals,Rajasthan Royals,Punjab Kings,Guwahati,League,2023
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata,League,2023
Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow,League,2023
Rajasthan Royals,Delhi Capitals,Delhi Capitals,Rajasthan Royals,Guwahati,League,2023
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Mumbai,League,2023
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,League,2023
Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,Ahmedabad,League,2023
Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,Bengaluru,League,2023
Delhi Capitals,Mumbai Indians,Mumbai Indians,Mumbai Indians,Delhi,League,2023
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,Chennai,League,2023
Punjab Kings,Gujarat Titans,Gujarat Titans,Gujarat Titans,Chandigarh,League,2023
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,League,2023
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Royal Challengers Bengaluru,Bengaluru,League,2023
Lucknow Super Giants,Punjab Kings,Punjab Kings,Punjab Kings,Lucknow,League,2023
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2023
Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Ahmedabad,League,2023
Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Bengaluru,League,2023
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,League,2023
Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,Lucknow Super Giants,Jaipur,League,2023
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Royal Challengers Bengaluru,Chandigarh,League,2023
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Delhi Capitals,Delhi,League,2023
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Chennai,League,2023
Punjab Kings,Mumbai Indians,Mumbai Indians,Punjab Kings,Mumbai,League,2023
Gujarat Titans,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,Lucknow,League,2023
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bengaluru,Bengaluru,League,2023
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Kolkata,League,2023
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Hyderabad,League,2023
Gujarat Titans,Mumbai Indians,Mumbai Indians,Gujarat Titans,Ahmedabad,League,2023
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Bengaluru,League,2023
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2023
Lucknow Super Giants,Punjab Kings,Punjab Kings,Lucknow Super Giants,Chandigarh,League,2023
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi,League,2023
Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,Gujarat Titans,Kolkata,League,2023
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai,League,2023
Chennai Super Kings,Punjab Kings,Chennai Super Kings,Punjab Kings,Chennai,League,2023
Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Lucknow,League,2023
Delhi Capitals,Gujarat Titans,Delhi Capitals,Delhi Capitals,Ahmedabad,League,2023
Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,,Lucknow,League,2023
Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Chandigarh,League,2023
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Hyderabad,League,2023
Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Gujarat Titans,Jaipur,League,2023
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,Delhi,League,2023
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Chennai,League,2023
Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,Gujarat Titans,Ahmedabad,League,2023
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Jaipur,League,2023
Punjab Kings,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Kolkata,League,2023
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2023
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chennai,League,2023
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Kolkata,League,2023
Mumbai Indians,Gujarat Titans,Gujarat Titans,Mumbai Indians,Mumbai,League,2023
Punjab Kings,Delhi Capitals,Delhi Capitals,Punjab Kings,Delhi,League,2023
Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,Hyderabad,League,2023
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai,League,2023
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Jaipur,League,2023
Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Titans,Ahmedabad,League,2023
Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Lucknow Super Giants,Lucknow,League,2023
Delhi Capitals,Punjab Kings,Punjab Kings,Delhi Capitals,Dharamsala,League,2023
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Hyderabad,League,2023
Punjab Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Dharamsala,League,2023
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Delhi,League,2023
Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Lucknow Super Giants,Kolkata,League,2023
Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,Gujarat Titans,Bengaluru,League,2023
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2023
Chennai Super Kings,Gujarat Titans,Gujarat Titans,Chennai Super Kings,Chennai,Qualifier,2023
Mumbai Indians,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Chennai,Eliminator,2023
Gujarat Titans,Mumbai Indians,Mumbai Indians,Gujarat Titans,Ahmedabad,Qualifier,2023
Gujarat Titans,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Ahmedabad,Final,2023
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Chennai,League,2024
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,League,2024
Delhi Capitals,Punjab Kings,Punjab Kings,Punjab Kings,Mohali,League,2024
Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2024
Gujarat Titans,Mumbai Indians,Mumbai Indians,Gujarat Titans,Ahmedabad,League,2024
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2024
Chennai Super Kings,Gujarat Titans,Gujarat Titans,Chennai Super Kings,Chennai,League,2024
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,League,2024
Rajasthan Royals,Delhi Capitals,Delhi Capitals,Rajasthan Royals,Jaipur,League,2024
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Bengaluru,League,2024
Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,Lucknow,League,2024
Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,Ahmedabad,League,2024
Delhi Capitals,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Visakhapatnam,League,2024
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Mumbai,League,2024
