team1,team2,toss_winner,winner,venue,match_type,season
Chennai Super Kings,Pune Warriors,Pune Warriors,Chennai Super Kings,Chennai,League,2011
Delhi Daredevils,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Delhi,League,2011
Kochi Tuskers Kerala,Deccan Chargers,Kochi Tuskers Kerala,Deccan Chargers,Kochi,League,2011
Pune Warriors,Chennai Super Kings,Pune Warriors,Chennai Super Kings,Mumbai,League,2011
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi,League,2011
Royal Challengers Bengaluru,Pune Warriors,Pune Warriors,Royal Challengers Bengaluru,Bengaluru,League,2011
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2011
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2011
Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Kochi,League,2011
Rajasthan Royals,Pune Warriors,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2011
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,Chennai,League,2011
Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Delhi,League,2011
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Mumbai,League,2011
Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Hyderabad,League,2011
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Chennai,League,2011
Pune Warriors,Mumbai Indians,Pune Warriors,Mumbai Indians,Mumbai,League,2011
Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi,League,2011
Deccan Chargers,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Hyderabad,League,2011
Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bengaluru,Bengaluru,League,2011
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Mumbai,League,2011
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Kolkata,League,2011
Kings XI Punjab,Pune Warriors,Kings XI Punjab,Pune Warriors,Chandigarh,League,2011
Royal Challengers Bengaluru,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Royal Challengers Bengaluru,Bengaluru,League,2011
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Jaipur,League,2011
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Chandigarh,League,2011
Deccan Chargers,Pune Warriors,Deccan Chargers,Pune Warriors,Hyderabad,League,2011
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Jaipur,League,2011
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Chennai,League,2011
Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Indore,League,2011
Mumbai Indians,Deccan Chargers,Deccan Chargers,Deccan Chargers,Mumbai,League,2011
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2011
Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Indore,League,2011
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Dharamsala,League,2011
Pune Warriors,Deccan Chargers,Deccan Chargers,Deccan Chargers,Mumbai,League,2011
Kings XI Punjab,Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,Dharamsala,League,2011
Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,Chennai Super Kings,Chennai,League,2011
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai,League,2011
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai,League,2011
Kings XI Punjab,Deccan Chargers,Kings XI Punjab,Deccan Chargers,Dharamsala,League,2011
Delhi Daredevils,Pune Warriors,Delhi Daredevils,,Delhi,League,2011
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2011
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,Kolkata,League,2011
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Mumbai,Qualifier 1,2011
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai,Elimination Final,2011
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Royal Challengers Bengaluru,Chennai,Qualifier 2,2011
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Chennai,Final,2011
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Chennai,League,2012
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Kolkata,League,2012
Mumbai Indians,Pune Warriors,Mumbai Indians,Pune Warriors,Mumbai,League,2012
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Rajasthan Royals,Jaipur,League,2012
Deccan Chargers,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Visakhapatnam,League,2012
Royal Challengers Bengaluru,Delhi Daredevils,Delhi Daredevils,Royal Challengers Bengaluru,Bengaluru,League,2012
Pune Warriors,Kings XI Punjab,Pune Warriors,Pune Warriors,Pune,League,2012
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Jaipur,League,2012
Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Visakhapatnam,League,2012
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Bengaluru,League,2012
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Delhi,League,2012
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Mumbai,League,2012
Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Chennai,League,2012
